id,name,state_id,created_at,updated_at
543,Dili,384,null,null
544,Sucre,385,null,null
545,Nicosia,386,null,null
546,Dodoma,387,null,null
547,Colombo,388,null,null
548,Gaborone,389,null,null
549,Yamoussoukro,390,null,null
550,Bridgetown,391,null,null
551,Suva,392,null,null
552,ReykjavA?k,393,null,null
553,Malabo,394,null,null
554,Podgorica,395,null,null
555,Moroni,396,null,null
556,Sri Jayewardenepura Kotte,388,null,null
557,Praia,397,null,null
558,Male,398,null,null
559,Juba,399,null,null
560,Luxembourg,400,null,null
561,Thimphu,401,null,null
562,Mbabane,402,null,null
563,SAEo TomAc,403,null,null
564,Honiara,404,null,null
565,Apia,405,null,null
566,Andorra la Vella,406,null,null
567,Kingstown,407,null,null
568,Port-Vila,408,null,null
569,Banjul,409,null,null
570,NukuaEalofa,410,null,null
571,Castries,411,null,null
572,Vaduz,412,null,null
573,Saint JohnaEs,413,null,null
574,Saint GeorgeaEs,407,null,null
575,San Marino,414,null,null
576,Majuro,415,null,null
577,Roseau,407,null,null
578,Basseterre,416,null,null
579,Belmopan,417,null,null
580,Lobamba,402,null,null
581,Funafuti,418,null,null
582,Palikir,419,null,null
583,Gitega,420,null,null
584,Pristina,421,null,null
585,Ngerulmud,422,null,null
586,Aden,423,null,null
587,Cochabamba,424,null,null
588,Yongzhou,131,null,null
589,Baoshan,111,null,null
590,QuaEng HAˇ,425,null,null
591,Kitaku,119,null,null
592,PermaE,426,null,null
593,AhvAz,427,null,null
594,Jodhpur,114,null,null
595,San Luis PotosA?,428,null,null
596,Odesa,429,null,null
597,Yinchuan,430,null,null
598,Jiaxing,107,null,null
599,Joinvile,325,null,null
600,DonetsaEk,431,null,null
601,Guilin,70,null,null
602,DahAk,432,null,null
603,Volgograd,433,null,null
604,GuwAhAti,434,null,null
605,Yichun,146,null,null
606,Yangquan,115,null,null
607,Chandigarh,435,null,null
608,Gwalior,176,null,null
609,Hamamatsu,436,null,null
610,Qom,437,null,null
611,Jixi,81,null,null
612,MAcrida,438,null,null
613,XinaEan,76,null,null
614,QuerActaro,439,null,null
615,Pingxiang,146,null,null
616,JoAEo Pessoa,440,null,null
617,Klang,441,null,null
618,Jinzhou,54,null,null
619,Oklahoma City,442,null,null
620,Salerno,150,null,null
621,Thiruvananthapuram,221,null,null
622,Calicut,221,null,null
623,Trichinopoly,33,null,null
624,Ogbomoso,130,null,null
625,General Santos,443,null,null
626,Hua,444,null,null
627,Bacolod,445,null,null
628,Nantong,76,null,null
629,Foshan,24,null,null
630,SAèngnam,311,null,null
631,Bridgeport,446,null,null
632,Nice,247,null,null
633,Buffalo,2,null,null
634,Erbil,447,null,null
635,Krasnoyarsk,448,null,null
636,Olinda,79,null,null
637,Antwerp,449,null,null
638,Konya,450,null,null
639,Bogor,145,null,null
640,Hartford,446,null,null
641,Huaibei,175,null,null
642,Xinyu,146,null,null
643,Teresina,451,null,null
644,Naha,452,null,null
645,Goyang,311,null,null
646,Nangandao,128,null,null
647,Yibin,65,null,null
648,Aba,453,null,null
649,Maiduguri,454,null,null
650,Az ZarqAaE,455,null,null
651,Tarsus,456,null,null
652,Bengbu,175,null,null
653,Mendoza,457,null,null
654,Hubli,35,null,null
655,ConcepciAn,458,null,null
656,Zaria,238,null,null
657,Dengtalu,128,null,null
